espn_id,season,name,decision,row_id,row_team,kept_id,kept_team
5106292,2024,Josiah Harris,KEEP (bbref=West Virginia),49285,West Virginia,,
5106292,2024,Josiah Harris,DELETE (phantom),19331,La Salle,49285,West Virginia
5106292,2024,Josiah Harris,DELETE (phantom),19330,Cleveland State,49285,West Virginia
5106607,2025,Josiah Harris,KEEP (bbref=Radford),52714,Radford,,
5106607,2025,Josiah Harris,DELETE (phantom),19332,Cleveland State,52714,Radford
5106607,2025,Josiah Harris,DELETE (phantom),19333,La Salle,52714,Radford
5241383,2025,Josiah LeGree,KEEP (bbref=Indiana State),51138,Indiana State,,
5241383,2025,Josiah LeGree,DELETE (phantom),19340,Morehead State,51138,Indiana State
5241622,2025,Josiah Moore,UNRESOLVED (no bbref row),19342,Tulane,,
5241622,2025,Josiah Moore,UNRESOLVED (no bbref row),52477,Oral Roberts,,
5152656,2025,Josiah Moseley,KEEP (bbref=Villanova),54051,Villanova,,
5152656,2025,Josiah Moseley,DELETE (phantom),19344,Texas Tech,54051,Villanova
5106680,2024,Josiah Sabino,KEEP (bbref=Jacksonville),46402,Jacksonville,,
5106680,2024,Josiah Sabino,DELETE (phantom),19347,Niagara,46402,Jacksonville
5142625,2025,Joson Sanon,UNRESOLVED (no bbref row),19353,St. John's (NY),,
5142625,2025,Joson Sanon,UNRESOLVED (no bbref row),49612,Arizona State,,
5243005,2025,Josue Grullon,KEEP (bbref=Tennessee-Martin),53875,Tennessee-Martin,,
5243005,2025,Josue Grullon,DELETE (phantom),19355,La Salle,53875,Tennessee-Martin
5240506,2025,Joul Karram,KEEP (bbref=Utah),53960,Utah,,
5240506,2025,Joul Karram,DELETE (phantom),19356,Utah Valley,53960,Utah
5101673,2025,Jovan Milicevic,KEEP (bbref=New Mexico),52070,New Mexico,,
5101673,2025,Jovan Milicevic,DELETE (phantom),19359,Xavier,52070,New Mexico
5242400,2025,Juan Cranford Jr.,UNRESOLVED (no bbref row),19378,Eastern Kentucky,,
5242400,2025,Juan Cranford Jr.,UNRESOLVED (no bbref row),52876,Saint Francis (PA),,
4897872,2023,Juan Reyna,UNRESOLVED (no bbref row),19381,Santa Clara,,
